snapshot_time,event_slug,event_title,match_date,tournament,best_of,team1,team2,market_type,market_question,outcome1,outcome2,outcome1_mid,outcome2_mid,mid_source,volume
2026-05-21T23:17:16Z,lol-wb-blg-2026-05-21,LoL: Weibo Gaming vs Bilibili Gaming (BO3) - Esports World Cup China Qualifier Phase 2,2026-05-21T00:00:00+00:00,Esports World Cup China Qualifier Phase 2,3,Weibo Gaming,Bilibili Gaming,match_winner,LoL: Weibo Gaming vs Bilibili Gaming (BO3) - Esports World Cup China Qualifier Phase 2,Weibo Gaming,Bilibili Gaming,1.0000,0.0000,gamma_last,250144
2026-05-21T23:17:16Z,lol-wb-blg-2026-05-21,LoL: Weibo Gaming vs Bilibili Gaming (BO3) - Esports World Cup China Qualifier Phase 2,2026-05-21T00:00:00+00:00,Esports World Cup China Qualifier Phase 2,3,Weibo Gaming,Bilibili Gaming,game_1_winner,LoL: Weibo Gaming vs Bilibili Gaming - Game 1 Winner,Weibo Gaming,Bilibili Gaming,1.0000,0.0000,gamma_last,312273
2026-05-21T23:17:16Z,lol-wb-blg-2026-05-21,LoL: Weibo Gaming vs Bilibili Gaming (BO3) - Esports World Cup China Qualifier Phase 2,2026-05-21T00:00:00+00:00,Esports World Cup China Qualifier Phase 2,3,Weibo Gaming,Bilibili Gaming,game_2_winner,LoL: Weibo Gaming vs Bilibili Gaming - Game 2 Winner,Weibo Gaming,Bilibili Gaming,1.0000,0.0000,gamma_last,282520
2026-05-21T23:17:16Z,lol-wb-blg-2026-05-21,LoL: Weibo Gaming vs Bilibili Gaming (BO3) - Esports World Cup China Qualifier Phase 2,2026-05-21T00:00:00+00:00,Esports World Cup China Qualifier Phase 2,3,Weibo Gaming,Bilibili Gaming,game_handicap,Game Handicap: BLG (-1.5) vs Weibo Gaming (+1.5),Bilibili Gaming,Weibo Gaming,0.0000,1.0000,gamma_last,49425
2026-05-21T23:17:16Z,lol-wb-blg-2026-05-21,LoL: Weibo Gaming vs Bilibili Gaming (BO3) - Esports World Cup China Qualifier Phase 2,2026-05-21T00:00:00+00:00,Esports World Cup China Qualifier Phase 2,3,Weibo Gaming,Bilibili Gaming,game_handicap,Game Handicap: WB (-1.5) vs Bilibili Gaming (+1.5),Weibo Gaming,Bilibili Gaming,1.0000,0.0000,gamma_last,100
2026-05-21T23:17:16Z,lol-vit-mkoi-2026-05-23,LoL: Team Vitality vs Movistar KOI (BO5) - LEC Playoffs,2026-05-23T00:00:00+00:00,LEC Playoffs,5,Team Vitality,Movistar KOI,match_winner,LoL: Team Vitality vs Movistar KOI (BO5) - LEC Playoffs,Team Vitality,Movistar KOI,0.4350,0.5650,clob_mid,9712
2026-05-21T23:17:16Z,lol-vit-mkoi-2026-05-23,LoL: Team Vitality vs Movistar KOI (BO5) - LEC Playoffs,2026-05-23T00:00:00+00:00,LEC Playoffs,5,Team Vitality,Movistar KOI,game_1_winner,LoL: Team Vitality vs Movistar KOI - Game 1 Winner,Team Vitality,Movistar KOI,0.4750,0.5250,clob_mid,0
2026-05-21T23:17:16Z,lol-vit-mkoi-2026-05-23,LoL: Team Vitality vs Movistar KOI (BO5) - LEC Playoffs,2026-05-23T00:00:00+00:00,LEC Playoffs,5,Team Vitality,Movistar KOI,game_2_winner,LoL: Team Vitality vs Movistar KOI - Game 2 Winner,Team Vitality,Movistar KOI,0.4750,0.5250,clob_mid,0
2026-05-21T23:17:16Z,lol-vit-mkoi-2026-05-23,LoL: Team Vitality vs Movistar KOI (BO5) - LEC Playoffs,2026-05-23T00:00:00+00:00,LEC Playoffs,5,Team Vitality,Movistar KOI,game_3_winner,LoL: Team Vitality vs Movistar KOI - Game 3 Winner,Team Vitality,Movistar KOI,0.4750,0.5250,clob_mid,0
2026-05-21T23:17:16Z,lol-vit-mkoi-2026-05-23,LoL: Team Vitality vs Movistar KOI (BO5) - LEC Playoffs,2026-05-23T00:00:00+00:00,LEC Playoffs,5,Team Vitality,Movistar KOI,game_4_winner,LoL: Team Vitality vs Movistar KOI - Game 4 Winner,Team Vitality,Movistar KOI,0.4700,0.5300,clob_mid,0
2026-05-21T23:17:16Z,lol-vit-mkoi-2026-05-23,LoL: Team Vitality vs Movistar KOI (BO5) - LEC Playoffs,2026-05-23T00:00:00+00:00,LEC Playoffs,5,Team Vitality,Movistar KOI,game_handicap,Game Handicap: MKOI (-1.5) vs Team Vitality (+1.5),Movistar KOI,Team Vitality,0.3750,0.6250,clob_mid,0
2026-05-21T23:17:16Z,lol-vit-mkoi-2026-05-23,LoL: Team Vitality vs Movistar KOI (BO5) - LEC Playoffs,2026-05-23T00:00:00+00:00,LEC Playoffs,5,Team Vitality,Movistar KOI,game_handicap,Game Handicap: MKOI (-2.5) vs Team Vitality (+2.5),Movistar KOI,Team Vitality,0.1600,0.8400,clob_mid,0
2026-05-21T23:17:16Z,lol-kc-g2-2026-05-24,LoL: Karmine Corp vs G2 Esports (BO5) - LEC Playoffs,2026-05-24T00:00:00+00:00,LEC Playoffs,5,Karmine Corp,G2 Esports,match_winner,LoL: Karmine Corp vs G2 Esports (BO5) - LEC Playoffs,Karmine Corp,G2 Esports,0.3050,0.6950,clob_mid,7573
2026-05-21T23:17:16Z,lol-kc-g2-2026-05-24,LoL: Karmine Corp vs G2 Esports (BO5) - LEC Playoffs,2026-05-24T00:00:00+00:00,LEC Playoffs,5,Karmine Corp,G2 Esports,game_1_winner,LoL: Karmine Corp vs G2 Esports - Game 1 Winner,Karmine Corp,G2 Esports,0.3950,0.6050,clob_mid,143
2026-05-21T23:17:16Z,lol-kc-g2-2026-05-24,LoL: Karmine Corp vs G2 Esports (BO5) - LEC Playoffs,2026-05-24T00:00:00+00:00,LEC Playoffs,5,Karmine Corp,G2 Esports,game_2_winner,LoL: Karmine Corp vs G2 Esports - Game 2 Winner,Karmine Corp,G2 Esports,0.3950,0.6050,clob_mid,122
2026-05-21T23:17:16Z,lol-kc-g2-2026-05-24,LoL: Karmine Corp vs G2 Esports (BO5) - LEC Playoffs,2026-05-24T00:00:00+00:00,LEC Playoffs,5,Karmine Corp,G2 Esports,game_3_winner,LoL: Karmine Corp vs G2 Esports - Game 3 Winner,Karmine Corp,G2 Esports,0.3950,0.6050,clob_mid,63
2026-05-21T23:17:16Z,lol-kc-g2-2026-05-24,LoL: Karmine Corp vs G2 Esports (BO5) - LEC Playoffs,2026-05-24T00:00:00+00:00,LEC Playoffs,5,Karmine Corp,G2 Esports,game_4_winner,LoL: Karmine Corp vs G2 Esports - Game 4 Winner,Karmine Corp,G2 Esports,0.3600,0.6400,clob_mid,0
